ALMEMO;BEREICH:;;L840;L840;D2.6;D2.6
5690-2;KOMMENTAR:;;;;;
SD3.12;GW-MAX:;;;;;
BLAS180E.001;GW-MIN:;;;;;
DATUM:;ZEIT:;;M01: ms;M02: ms;M11: Pa;M12: Pa
;14:41:01;;13,3;9,7;94,5;48,2
;14:41:02;;12,6;8,1;94,3;53,3
;14:41:03;;12,7;9,2;97,6;49,7
;14:41:04;;12,8;9;98,9;52,6
;14:41:05;;12,5;9;94,7;51,1
;14:41:06;;12,7;10;93,6;40,9
;14:41:07;;12,7;10,1;96,4;33,1
;14:41:08;;13,2;8,6;103,2;35,3
;14:41:09;;12,6;9,5;102,2;54
;14:41:10;;12,9;8,6;95,6;66
;14:41:11;;12,8;10,6;98,2;47,9
;14:41:12;;13,4;9,8;97,2;38
;14:41:13;;12,8;10,8;99,6;39,6
;14:41:14;;12,9;8,1;89,4;64,5
;14:41:15;;12,7;6,7;97,7;49,5
;14:41:16;;13,1;10;95,3;78,7
;14:41:17;;12,2;7,1;95,2;52,1
;14:41:18;;12,5;8,4;89,7;88,5
;14:41:19;;13;10,3;102,8;50,6
;14:41:20;;12,8;10,8;101,9;60,7
;14:41:21;;13,4;8,6;92,5;61,7
;14:41:22;;13;8,1;94,5;35,7
;14:41:23;;12,3;8,6;105,3;15,7
;14:41:24;;12,8;8,8;100,7;54,3
;14:41:25;;12,7;9,7;90,5;65,7
;14:41:26;;12,7;9,7;97,6;29,7
;14:41:27;;12,9;8,2;99;49,2
;14:41:28;;12,7;10,6;90,4;34,3
;14:41:29;;12,7;9,2;90,3;44,9
;14:41:30;;12,5;8,5;96,2;63,2
;14:41:31;;12,6;10,4;98,2;21,4
;14:41:32;;12,8;9,6;92,5;52,6
;14:41:33;;12,9;8,4;93;51,4
;14:41:34;;12,9;9,6;95,8;52,1
;14:41:35;;12,9;8,1;93;71,8
;14:41:36;;12,6;11;93,9;70,9
;14:41:37;;12,7;9;100;63,9
;14:41:38;;12,7;8,5;99,5;34
;14:41:39;;12,8;10,2;100,9;63,2
;14:41:40;;13;7,5;101,3;56,6
;14:41:41;;13;8,6;104,1;48,9
;14:41:42;;12,7;6,7;96,1;27,2
;14:41:43;;12,6;9,8;93,3;65
;14:41:44;;12,7;11,1;93;42,4
;14:41:45;;12,8;9,2;91,1;43
;14:41:46;;12,6;10,3;98,7;53,3
;14:41:47;;12,4;10,7;91,9;31,9
;14:41:48;;12,8;7,5;97,3;39,4
;14:41:49;;12,6;10,9;97,7;44,4
;14:41:50;;13,2;4,7;99,2;52
;14:41:51;;12,8;11;96,6;22,6
;14:41:52;;12,6;9,3;99,2;43,8
;14:41:53;;13,2;8,5;91,3;63,5
;14:41:54;;12,7;9,9;98,3;25,1
;14:41:55;;12,6;10,8;91,8;55,2
;14:41:56;;12,6;9,8;96,6;32,3
;14:41:57;;13,2;9,4;104,1;38,8
;14:41:58;;12,7;10,1;98,9;53,5
;14:41:59;;13,2;7,9;93,5;44,9
;14:42:00;;13,1;10,2;95,4;64,5
;14:42:01;;13;8;98,6;43,2
;14:42:02;;12,8;9,7;94,5;56,5
;14:42:03;;12,5;7,1;94,5;57,8
;14:42:04;;12,5;10,5;98,4;38,1
;14:42:05;;12,9;9,7;95,5;51,3
;14:42:06;;12,7;11,9;95,1;73,2
;14:42:07;;12,9;9,6;95,1;33,8
;14:42:08;;12,6;7,9;96,9;65,5
;14:42:09;;12,3;8,8;92,9;67,9
;14:42:10;;12,4;8,8;90,3;33,1
;14:42:11;;12,5;9;101,4;56,2
;14:42:12;;13;11;92,4;50,7
;14:42:13;;12,9;9,8;96,5;65,9
;14:42:14;;13;10,3;96,6;56,7
;14:42:15;;13,3;3,8;97,3;71,5
;14:42:16;;12,8;10,1;100,4;49,5
;14:42:17;;13,1;7;103;44,3
;14:42:18;;12,8;11,5;96,4;60,4
;14:42:19;;12,7;8,5;105,8;50,2
;14:42:20;;12,6;8,7;93,6;53,9
;14:42:21;;12,6;9,5;99,1;38,4
;14:42:22;;12,4;11,5;100,1;28,3
;14:42:23;;12,5;9,7;100;44,7
;14:42:24;;12,8;9,5;96,9;54,3
;14:42:25;;12,6;10,6;95,1;68
;14:42:26;;12,8;9,8;99,9;46,1
;14:42:27;;12,8;7,8;93,8;94,8
;14:42:28;;12,9;10,8;95;30,9
;14:42:29;;13;10,4;87,7;37,4
;14:42:30;;12,9;10;99,8;53,5
;14:42:31;;13,4;6,3;93,5;45,8
;14:42:32;;13;10,3;94,9;50,9
;14:42:33;;13;8,9;99,2;45,1
;14:42:34;;12,9;11,2;96,5;44,2
;14:42:35;;12,7;9,3;95;39,6
;14:42:36;;13;6,8;101,4;41,5
;14:42:37;;13,5;9,2;93,6;23,8
;14:42:38;;13,3;9,3;97,3;52,8
;14:42:39;;13;8,7;101,5;61,6
;14:42:40;;13;8,3;103,1;61,2
;14:42:41;;12,8;7,6;99;41,8
;14:42:42;;12,9;7,5;104,4;76,1
;14:42:43;;12,7;7,9;98,1;82,7
;14:42:44;;12,7;9,7;96,7;70,6
;14:42:45;;12,9;8,4;95,9;46,7
;14:42:46;;12,9;9,8;102,1;52,9
;14:42:47;;12,8;12,4;99,7;53,9
;14:42:48;;12,5;5,6;92,7;42,6
;14:42:49;;13;7,8;91,1;32
;14:42:50;;12,7;8,8;95,6;37,9
;14:42:51;;12,7;9,6;88,8;30,6
;14:42:52;;12,2;9,8;97,6;72,5
;14:42:53;;13,5;11,8;99,8;32,4
;14:42:54;;12,3;9,1;98,6;58,8
;14:42:55;;12,8;9,8;96,6;38,5
;14:42:56;;12,8;9,4;89,2;36,2
;14:42:57;;12,5;9,6;95,8;62,6
;14:42:58;;12,6;9,9;92,4;78,9
;14:42:59;;12,8;8,5;93,6;65
;14:43:00;;12,7;9,2;102,3;32,5
;14:43:01;;12,8;7,8;90,9;53,3
;14:43:02;;12,7;7,8;98,3;59,6
;14:43:03;;12,2;10,6;95,8;58,6
;14:43:04;;13;6,1;95,1;39,5
;14:43:05;;13,1;8,2;99,1;53,7
;14:43:06;;12,9;7,7;93,9;61,8
;14:43:07;;13,2;8,2;95,3;60,8
;14:43:08;;12,8;9,5;102,7;54,1
;14:43:09;;13,2;10,3;100,6;60,8
;14:43:10;;12,7;10,5;102,7;38,2
;14:43:11;;13,1;10;98,2;21
;14:43:12;;12,9;9,5;96;57,3
;14:43:13;;12,3;11,3;100,6;54,6
;14:43:14;;13,1;11,8;104,1;63,7
